tool,week_start_mon,issues,model_prefix,quality_words,limits_words,mentions_other_tool
codex,2025-12-29,75,,0,1,1
codex,2026-01-05,124,,1,4,0
codex,2026-01-12,156,,4,4,2
codex,2026-01-19,159,,2,5,0
codex,2026-01-26,163,,0,10,1
codex,2026-02-02,443,,4,7,0
codex,2026-02-09,347,,0,6,0
codex,2026-02-16,317,,3,9,0
codex,2026-02-23,334,,1,8,2
codex,2026-03-02,441,,5,10,1
codex,2026-03-09,454,,6,14,2
codex,2026-03-16,357,,1,14,1
codex,2026-03-23,388,,1,8,2
codex,2026-03-30,429,,2,14,1
codex,2026-04-06,400,,2,17,1
codex,2026-04-13,513,,2,22,1
codex,2026-04-20,721,,7,29,8
codex,2026-04-27,665,,8,39,7
codex,2026-05-04,733,,4,30,2
codex,2026-05-11,754,,4,30,3
codex,2026-05-18,764,,5,22,0
codex,2026-05-25,712,,5,21,2
codex,2026-06-01,988,,3,33,1
codex,2026-06-08,769,,4,40,2
codex,2026-06-15,724,,5,31,1
codex,2026-06-22,696,,6,46,1
claude,2025-12-29,645,9,19,16,1
claude,2026-01-05,1214,9,15,49,0
claude,2026-01-12,1488,13,28,42,1
claude,2026-01-19,1570,11,23,40,1
claude,2026-01-26,1555,17,20,29,0
claude,2026-02-02,1780,15,20,60,2
claude,2026-02-09,1580,14,16,59,0
claude,2026-02-16,1702,18,22,76,1
claude,2026-02-23,2064,20,20,102,0
claude,2026-03-02,2120,21,20,95,1
claude,2026-03-09,2380,20,33,109,0
claude,2026-03-16,2704,32,33,112,3
claude,2026-03-23,2998,28,53,174,3
claude,2026-03-30,3142,47,55,219,3
claude,2026-04-06,3038,53,83,203,1
claude,2026-04-13,3734,38,72,172,3
claude,2026-04-20,2672,38,32,172,3
claude,2026-04-27,2141,17,36,149,5
claude,2026-05-04,1997,29,34,112,5
claude,2026-05-11,2128,19,24,79,2
claude,2026-05-18,1963,19,32,89,5
claude,2026-05-25,2219,30,40,127,6
claude,2026-06-01,1760,22,24,136,3
claude,2026-06-08,2303,19,25,137,3
claude,2026-06-15,1414,25,32,110,4
claude,2026-06-22,2208,14,35,100,1
gemini,2025-12-29,128,,4,6,1
gemini,2026-01-05,262,,6,2,0
gemini,2026-01-12,321,,1,8,0
gemini,2026-01-19,248,,3,5,3
gemini,2026-01-26,313,,3,5,2
gemini,2026-02-02,245,,5,1,1
gemini,2026-02-09,240,,1,3,0
gemini,2026-02-16,333,,5,11,1
gemini,2026-02-23,354,,5,5,1
gemini,2026-03-02,386,,2,5,2
gemini,2026-03-09,423,,4,12,2
gemini,2026-03-16,454,,4,17,2
gemini,2026-03-23,311,,1,20,2
gemini,2026-03-30,263,,2,10,1
gemini,2026-04-06,252,,0,6,1
gemini,2026-04-13,213,,1,8,3
gemini,2026-04-20,189,,4,8,1
gemini,2026-04-27,194,,1,11,4
gemini,2026-05-04,243,,2,13,0
gemini,2026-05-11,157,,2,8,0
gemini,2026-05-18,115,,3,4,0
gemini,2026-05-25,86,,0,1,0
gemini,2026-06-01,60,,2,2,0
gemini,2026-06-08,52,,0,2,0
gemini,2026-06-15,53,,0,1,0
gemini,2026-06-22,39,,0,2,0
