date,title,label,product
2025-05-19,Codex in the ChatGPT iOS app,codex-app,codex
2025-05-22,Reworked environment page,general,codex
2025-06-03,June update,general,codex
2025-06-13,Best of N,general,codex
2025-08-21,Mid August update,general,codex
2025-08-27,Late August update,general,codex
2025-09-15,Introducing GPT-5-Codex,general,codex
2025-09-23,GPT-5-Codex in the API,general,codex
2025-10-06,Codex is now GA,general,codex
2025-10-22,Tag @Codex on GitHub Issues and PRs,general,codex
2025-10-30,Credits on ChatGPT Pro and Plus,general,codex
2025-11-06,GPT-5-Codex model update,general,codex
2025-11-07,Introducing GPT-5-Codex-Mini,general,codex
2025-11-13,Introducing GPT-5.1-Codex and GPT-5.1-Codex-Mini,general,codex
2025-11-18,Introducing GPT-5.1-Codex-Max,general,codex
2025-11-24,Usage and credits fixes,general,codex
2025-12-04,Introducing Codex for Linear,general,codex
2025-12-18,Introducing GPT-5.2-Codex,general,codex
2025-12-19,Agent skills in Codex,general,codex
2026-01-14,GPT-5.2-Codex API availability,general,codex
2026-01-22,Custom prompts deprecated,general,codex
2026-01-23,Team Config for shared configuration,general,codex
2026-01-28,Web search is now enabled by default,general,codex
2026-02-02,Introducing the Codex app,codex-app,codex
2026-02-03,Codex app 26.203,codex-app,codex
2026-02-04,Codex app 26.204,codex-app,codex
2026-02-05,Introducing GPT-5.3-Codex,general,codex
2026-02-05,Codex app 26.205,codex-app,codex
2026-02-06,Codex app 26.206,codex-app,codex
2026-02-08,Codex app 26.208,codex-app,codex
2026-02-09,GPT-5.3-Codex in Cursor and VS Code,general,codex
2026-02-10,Codex app 26.210,codex-app,codex
2026-02-12,Introducing GPT-5.3-Codex-Spark,general,codex
2026-02-12,Codex app 26.212,codex-app,codex
2026-02-17,Codex app 26.217,codex-app,codex
2026-02-26,Codex app 26.226,codex-app,codex
2026-02-27,Codex app 26.227,codex-app,codex
2026-02-28,Codex app 26.228,codex-app,codex
2026-03-03,Codex app 26.303,codex-app,codex
2026-03-04,Codex app 26.304,codex-app,codex
2026-03-05,Introducing GPT-5.4 in Codex,general,codex
2026-03-05,Codex app 26.305,codex-app,codex
2026-03-11,Codex app 26.311,codex-app,codex
2026-03-12,Codex app 26.312,codex-app,codex
2026-03-16,Codex app 26.313,codex-app,codex
2026-03-17,Introducing GPT-5.4 mini in Codex,general,codex
2026-03-18,Codex app 26.317,codex-app,codex
