week_start_thu,npm_downloads,issues_created,first_time_issue_authors,releases_downloads_per_day,hn_stories
2026-01-01,388144,92,59,6820.8,16
2026-01-08,476476,122,90,13440.0,7
2026-01-15,576428,156,98,48495.3,24
2026-01-22,668339,197,123,32400.3,11
2026-01-29,633039,246,136,22141.5,34
2026-02-05,1011029,440,264,37556.0,51
2026-02-12,1573024,355,240,34410.1,51
2026-02-19,1654124,260,166,91578.0,32
2026-02-26,2588381,357,228,43001.1,41
2026-03-05,3616655,542,320,42785.8,41
2026-03-12,2915471,366,246,58231.1,26
2026-03-19,3601753,352,254,9639.9,24
2026-03-26,3568948,420,280,24877.9,27
2026-04-02,2899411,385,263,27531.7,26
2026-04-09,3526254,465,307,33227.7,26
2026-04-16,4995502,547,377,43537.5,30
2026-04-23,5964882,795,596,65734.9,38
2026-04-30,213805049,654,443,71309.1,37
2026-05-07,12728423,718,521,45599.8,41
2026-05-14,7768930,778,535,53936.7,31
2026-05-21,11092557,750,535,98975.5,35
2026-05-28,12108375,954,680,144567.7,39
2026-06-04,8436765,765,570,195503.1,29
2026-06-11,10719141,781,545,180466.4,31
2026-06-18,13184187,708,548,178890.5,39
2026-06-25,10846526,702,534,185226.8,32
2026-07-02,10625797,513,391,179426.5,29
2026-07-09,10878421,1468,1095,333452.9,55
2026-07-16,15918714,1091,823,218191.4,45
2026-07-23,15114772,979,715,141487.2,57
2026-07-30,16953302,877,612,61995.1,35
2026-08-06,16359928,834,617,67469.0,34
2026-08-13,13530406,858,663,65472.0,31
2026-08-20,17799531,1028,797,122367.5,25
2026-08-27,23726406,1067,822,104094.4,35
2026-09-03,13156260,1543,1168,178867.9,34
2026-09-10,20485138,1357,1056,74130.3,22
