tool,month,npm_daily_median_nonzero,issues_created,issue_authors,releases_downloads_per_day,hn_stories
codex,2026-01,69490,617,508,24981.7,62
codex,2026-02,193120.0,1431,1059,49243.8,182
codex,2026-03,450617,1785,1409,34737.2,139
codex,2026-04,580412.5,2352,1951,42796.2,129
codex,2026-05,1419482,3224,2615,76278.9,153
codex,2026-06,1569705,3412,2869,182773.4,146
codex,2026-07,2129964,4403,3753,206283.0,199
codex,2026-08,2525795.5,4073,3471,81838.8,139
claude,2026-01,911269,6004,4602,0.0,463
claude,2026-02,1156911.5,7078,5884,0.0,532
claude,2026-03,1593678,11359,9436,0.0,594
claude,2026-04,1860750.5,13074,10924,563.7,504
claude,2026-05,1111086,9025,7650,2895.5,305
claude,2026-06,1623575,8138,6194,3238.5,282
claude,2026-07,1701841.0,10253,7975,2795.7,295
claude,2026-08,2893736.0,8019,6695,6179.3,240
gemini,2026-01,66025,1179,622,132.5,17
gemini,2026-02,98068.0,1175,638,251.5,6
gemini,2026-03,99676,1707,902,128.3,15
gemini,2026-04,112117.0,947,673,238.2,8
gemini,2026-05,97115,661,476,131.9,5
gemini,2026-06,83175,219,161,125.4,3
gemini,2026-07,69109.5,115,78,104.8,5
gemini,2026-08,59625.5,179,98,110.6,2
