week_start_thu,codex_issues,codex_authors,claude_issues,claude_authors,gemini_issues,gemini_authors
2026-03-05,542,435,2293,2017,423,233
2026-03-12,366,324,2518,2233,474,277
2026-03-19,352,315,2920,2579,337,214
2026-03-26,420,366,3113,2742,310,233
2026-04-02,385,337,3083,2767,265,179
2026-04-09,465,411,3261,2854,223,187
2026-04-16,547,479,3289,2917,192,172
2026-04-23,795,723,2585,2257,209,168
2026-04-30,654,568,1957,1762,169,146
2026-05-07,718,645,1984,1789,241,151
2026-05-14,778,671,2117,1866,144,116
2026-05-21,750,659,1879,1656,78,66
2026-05-28,954,821,2236,1974,79,66
